,artist,year,song,genre,duration_min,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
417,Lloyd Banks,2004,On Fire,"hip hop, pop",3.12,61,0.759,0.825,8,-4.289,1,0.22,0.0923,0.00057,0.24,0.429,94.857
418,Akon,2004,Locked Up,pop,3.92,16,0.818,0.579,7,-4.475,1,0.101,0.023,0.0,0.107,0.354,89.987
419,D12,2004,My Band,"hip hop, pop, rock",4.98,73,0.851,0.849,1,-3.383,0,0.0828,0.497,2.05e-06,0.116,0.844,120.014
420,Jay Sean,2004,Eyes On You - Radio Mix,"hip hop, pop, R&B",3.17,42,0.802,0.672,7,-4.971,1,0.0847,0.0775,0.0,0.136,0.619,96.525
421,Mario Winans,2016,I Don't Wanna Know (feat. Enya & P. Diddy) - 2016 Remaster,pop,4.29,66,0.833,0.515,11,-5.0,0,0.0462,0.347,0.00156,0.116,0.4,97.007
422,Destinys Child,2004,Lose My Breath,"pop, R&B",4.03,61,0.814,0.899,1,-5.958,1,0.0637,0.00727,0.219,0.0979,0.545,119.011
423,Eric Prydz,2004,Call on Me - Radio Mix,"pop, Dance/Electronic",2.86,72,0.597,0.837,10,-6.518,1,0.375,0.00427,0.00115,0.839,0.447,126.342
424,Ciara,2004,Goodies (feat. Petey Pablo),"pop, R&B",3.72,67,0.826,0.647,5,-6.306,0,0.0491,0.0277,1.52e-06,0.298,0.872,102.017
425,Kelis,2003,Trick Me,"pop, R&B, Dance/Electronic",3.44,63,0.97,0.72,1,-3.347,0,0.149,0.0369,0.000389,0.326,0.962,107.17
426,LL Cool J,2004,Headsprung,"hip hop, pop, R&B",4.46,56,0.718,0.786,0,-5.76,1,0.0284,0.0114,2.5e-05,0.0745,0.465,99.916
427,Spiderbait,2004,Black Betty - Edit,rock,3.43,63,0.562,0.865,7,-6.476,0,0.0922,2.06e-05,0.591,0.219,0.35,124.047
428,George Michael,2004,Amazing,set(),4.43,57,0.805,0.754,10,-6.825,0,0.0394,0.0884,1.77e-06,0.117,0.88,128.429
429,Britney Spears,2004,My Prerogative,pop,3.56,53,0.749,0.938,10,-4.423,0,0.118,0.0127,1.96e-06,0.103,0.619,111.014
430,Nina Sky,2004,Move Ya Body,"pop, R&B",3.87,67,0.87,0.712,11,-6.313,0,0.0432,0.0202,0.000331,0.0576,0.877,121.057
432,Petey Pablo,2003,Freek-A-Leek,"hip hop, pop",3.92,56,0.737,0.697,2,-3.716,1,0.254,0.0756,0.0,0.359,0.662,104.917
433,JAY-Z,2003,Dirt Off Your Shoulder,hip hop,4.09,53,0.779,0.655,1,-7.147,1,0.318,0.0319,2.63e-06,0.339,0.645,163.971
434,Juanes,2004,La Camisa Negra,"pop, latin",3.61,70,0.751,0.731,6,-4.419,0,0.0308,0.0838,0.0,0.0556,0.973,97.007
435,Avril Lavigne,2004,Nobody's Home,pop,3.54,61,0.348,0.907,5,-3.66,0,0.0497,0.000516,0.0,0.161,0.177,185.406
436,Robbie Williams,2004,Radio,"pop, rock",3.89,33,0.607,0.874,5,-5.409,0,0.0349,0.00331,0.0494,0.26,0.846,130.015
437,Black Eyed Peas,2003,Hey Mama,"hip hop, pop",3.58,49,0.86,0.866,4,-6.345,0,0.232,0.104,1.42e-06,0.584,0.933,100.15
438,Ying Yang Twins,2003,Salt Shaker,"hip hop, pop",4.21,61,0.884,0.697,11,-6.022,1,0.128,0.0509,0.0,0.094,0.322,101.965
439,Enrique Iglesias,2003,Not In Love - Radio Mix,"pop, latin",3.72,37,0.762,0.885,0,-5.096,0,0.0395,0.0371,0.0,0.0519,0.886,117.021
440,Kelis,2003,Milkshake,"pop, R&B, Dance/Electronic",3.04,68,0.881,0.774,1,-6.068,1,0.0439,0.00986,0.0346,0.206,0.759,112.968
441,Linkin Park,2003,Breaking the Habit,"rock, metal",3.28,68,0.579,0.849,4,-5.218,0,0.0303,0.108,0.0,0.0909,0.581,100.021
442,JoJo,2005,Leave (Get Out) - Radio Edit,"hip hop, pop, R&B",4.05,49,0.656,0.513,5,-8.691,1,0.253,0.156,6.45e-05,0.0763,0.464,86.891
443,Christina Milian,2004,Dip It Low,"hip hop, pop, R&B",3.29,45,0.752,0.722,11,-4.207,0,0.104,0.0108,0.000536,0.0753,0.612,169.131
444,Avant,2003,Read Your Mind,"pop, R&B",4.39,56,0.755,0.381,8,-6.696,0,0.0711,0.291,5.13e-06,0.0974,0.695,73.108
445,Eminem,2004,Just Lose It,hip hop,4.14,67,0.94,0.633,8,-3.56,1,0.0467,0.0581,4.04e-05,0.281,0.962,121.003
447,Snoop Dogg,2004,Drop It Like It's Hot,"hip hop, pop",4.43,39,0.892,0.628,1,-3.832,1,0.216,0.169,0.0,0.102,0.676,92.063
448,Sean Paul,2002,I'm Still in Love with You (feat. Sasha),"hip hop, pop",4.56,68,0.765,0.666,7,-5.384,1,0.172,0.102,0.0,0.116,0.756,87.002
449,The Shapeshifters,2004,Lola's Theme - Radio Edit,Dance/Electronic,3.45,65,0.748,0.845,5,-4.612,0,0.0536,0.00083,0.000225,0.068,0.659,123.925
450,D12,2004,How Come,"hip hop, pop, rock",4.16,57,0.745,0.858,9,-2.221,1,0.237,0.28,0.0,0.188,0.547,89.983
451,Basement Jaxx,2003,Good Luck,"pop, Dance/Electronic",4.71,0,0.571,0.968,5,-3.092,1,0.162,0.0649,3.07e-06,0.592,0.313,154.07
452,Kevin Lyttle,2004,Turn Me On,hip hop,3.2,67,0.677,0.682,9,-6.879,1,0.0361,0.0405,0.0,0.0351,0.875,106.279
453,Chingy,2003,One Call Away,"hip hop, pop, R&B",4.61,61,0.765,0.821,4,-5.926,0,0.183,0.0918,0.0,0.217,0.962,162.519
454,T.I.,2004,Bring Em Out,"hip hop, pop",3.61,63,0.759,0.891,11,-2.983,1,0.257,0.0298,0.0,0.141,0.587,98.579
455,DJ Casper,2004,Cha Cha Slide - Hardino Mix,set(),3.7,51,0.853,0.911,11,-6.722,0,0.125,0.0436,0.00571,0.287,0.802,131.012
456,Kylie Minogue,2004,I Believe in You,"pop, Dance/Electronic",3.35,47,0.548,0.785,7,-5.087,1,0.0704,0.00277,0.048,0.329,0.418,120.939
457,Twista,2004,Overnight Celebrity,"hip hop, pop, R&B",3.89,66,0.828,0.792,10,-5.435,0,0.179,0.182,0.0,0.281,0.777,134.199
458,N.E.R.D,2004,She Wants To Move,hip hop,3.56,57,0.766,0.851,5,-4.831,1,0.0786,0.00402,0.000744,0.256,0.8,115.012
459,Britney Spears,2003,Everytime,pop,3.84,63,0.398,0.284,3,-12.852,1,0.0337,0.966,8.57e-05,0.116,0.114,109.599
460,U2,2004,Vertigo,"World/Traditional, rock",3.23,64,0.416,0.819,9,-3.974,1,0.0613,0.000138,0.00108,0.147,0.632,140.083
461,Franz Ferdinand,2004,Take Me Out,rock,3.95,77,0.277,0.663,4,-8.821,0,0.0377,0.000409,0.00051,0.136,0.527,104.561
462,J-Kwon,2001,Tipsy - Club Mix,"hip hop, pop",4.12,59,0.925,0.741,9,-5.827,0,0.315,0.0653,0.0,0.044,0.654,93.04
463,G-Unit,2003,Wanna Get To Know You,"hip hop, pop",4.42,61,0.513,0.826,10,-3.651,0,0.132,0.106,0.0,0.0675,0.889,76.91
464,Lil Flip,2004,Sunshine (feat. Lea),"hip hop, pop",3.75,42,0.814,0.387,0,-9.867,1,0.0946,0.0248,0.0,0.131,0.792,93.961
465,Kanye West,2004,Jesus Walks,hip hop,3.23,73,0.637,0.834,3,-4.686,0,0.323,0.614,0.0,0.317,0.715,87.312
466,Evanescence,2003,My Immortal,metal,4.38,72,0.19,0.265,9,-9.206,1,0.0356,0.863,0.0,0.134,0.101,79.012
467,Nelly,2004,My Place,"hip hop, pop, R&B",5.61,57,0.6,0.641,1,-4.237,0,0.0423,0.0498,1.49e-06,0.0982,0.642,163.153
468,Lemar,2004,If There's Any Justice,R&B,3.82,46,0.706,0.665,6,-5.348,0,0.0453,0.0128,0.0,0.338,0.639,89.993
470,Avril Lavigne,2004,Don't Tell Me,pop,3.37,58,0.523,0.795,4,-2.92,1,0.0386,0.00462,0.0,0.358,0.484,144.106
471,Twista,2004,Slow Jamz,"hip hop, pop, R&B",5.27,72,0.559,0.733,2,-5.659,0,0.171,0.314,0.0,0.284,0.611,145.115
472,Green Day,2004,American Idiot,rock,2.94,77,0.38,0.988,1,-2.042,1,0.0639,2.64e-05,7.86e-05,0.368,0.769,186.113
473,Kelis,2003,Millionaire,"pop, R&B, Dance/Electronic",3.75,57,0.68,0.847,11,-6.636,1,0.108,0.0217,0.0,0.0374,0.75,176.051
474,Scissor Sisters,2004,Comfortably Numb,"pop, rock, Dance/Electronic",4.43,43,0.803,0.924,7,-6.466,1,0.0391,0.237,0.0167,0.104,0.788,116.972
475,Alicia Keys,2003,Diary (feat. Tony! Toni! Tone! & Jermaine Paul),"pop, R&B",4.74,55,0.663,0.465,8,-9.711,0,0.0317,0.555,0.00183,0.125,0.279,127.932
476,Kanye West,2004,Through The Wire,hip hop,3.69,76,0.571,0.739,7,-6.11,1,0.247,0.00865,5.21e-06,0.158,0.66,83.089
477,Special D.,2004,Come With Me - Radio Edit,pop,3.09,61,0.739,0.999,7,-5.077,1,0.0803,0.13,0.00224,0.28,0.501,139.982
478,Ludacris,2003,Splash Waterfalls,"hip hop, pop",4.85,48,0.734,0.846,11,-6.102,1,0.409,0.101,0.0,0.233,0.702,145.894
479,Avril Lavigne,2004,My Happy Ending,pop,4.04,68,0.414,0.936,2,-2.407,1,0.0758,0.00136,0.0,0.369,0.74,170.229
481,Eamon,2004,Fuck It (I Don't Want You Back),set(),3.75,64,0.828,0.653,0,-6.245,0,0.0653,0.214,3.25e-06,0.0404,0.575,68.507
482,Beyoncé,2003,"Me, Myself and I","pop, R&B",5.02,62,0.75,0.458,1,-9.092,1,0.0803,0.226,3.25e-05,0.137,0.536,83.61
483,3 Doors Down,2002,Here Without You,"pop, rock, metal",3.98,74,0.557,0.533,10,-6.817,0,0.0252,0.0492,0.0,0.205,0.233,143.994
484,Kanye West,2004,All Falls Down,hip hop,3.73,80,0.657,0.734,8,-4.832,0,0.484,0.149,0.0,0.139,0.434,91.03
485,Twista,2004,Sunshine (feat. Anthony Hamilton),"hip hop, pop, R&B",3.77,56,0.926,0.888,11,-5.337,1,0.294,0.261,0.0,0.348,0.819,98.523
486,Katie Melua,2003,The Closest Thing to Crazy,"pop, easy listening, jazz",4.21,55,0.562,0.219,4,-13.2,1,0.0312,0.856,0.000296,0.0979,0.106,127.831
487,Usher,2004,My Boo,"hip hop, pop, R&B",3.72,76,0.662,0.507,5,-8.238,1,0.118,0.257,0.0,0.0465,0.676,86.412
488,Lloyd,2004,Southside,"hip hop, pop, R&B",4.63,59,0.688,0.404,9,-9.481,0,0.0818,0.377,0.0,0.0813,0.448,75.007
489,LMC,2004,Take Me To The Clouds Above - LMC Vs. U2 / Radio Edit,Dance/Electronic,2.86,59,0.668,0.905,6,-5.395,1,0.038,0.00232,0.0331,0.141,0.667,128.658
490,The Streets,2004,Fit but You Know It,"hip hop, Dance/Electronic",4.24,58,0.68,0.844,6,-1.729,1,0.299,0.23,0.0,0.0305,0.895,172.302
491,JUVENILE,2003,Slow Motion,"hip hop, pop",4.14,64,0.713,0.734,0,-4.894,0,0.325,0.548,0.0,0.0687,0.89,172.872
493,Girls Aloud,2004,Love Machine,"pop, Dance/Electronic",3.42,59,0.663,0.95,7,-4.21,1,0.0621,0.00127,0.00492,0.0753,0.697,116.02
494,Jessica Simpson,2003,With You,"pop, R&B",3.2,57,0.553,0.756,0,-4.583,1,0.108,0.0923,0.0,0.215,0.605,94.487
495,Eminem,2004,Like Toy Soldiers,hip hop,4.95,48,0.52,0.768,8,-3.489,0,0.359,0.0193,0.00034,0.104,0.398,79.178
496,Gary Jules,2001,Mad World (Feat. Michael Andrews),pop,3.16,65,0.345,0.0581,3,-17.217,1,0.0374,0.976,0.000366,0.103,0.304,174.117
497,Ashlee Simpson,2004,Pieces Of Me,pop,3.62,56,0.505,0.799,2,-4.286,1,0.0773,0.0572,0.0,0.11,0.772,174.001
499,Alicia Keys,2003,You Don't Know My Name,"pop, R&B",6.11,61,0.264,0.663,9,-8.264,1,0.187,0.59,0.00443,0.342,0.249,167.078
500,Mariah Carey,2005,We Belong Together,"pop, R&B",3.36,69,0.84,0.476,0,-7.918,1,0.0629,0.0264,0.0,0.0865,0.767,139.987
501,Mario,2004,Let Me Love You,"pop, R&B",4.28,72,0.656,0.578,7,-8.97,0,0.0922,0.235,0.0,0.118,0.556,94.514
502,Kanye West,2005,Gold Digger,hip hop,3.46,78,0.629,0.696,1,-5.572,0,0.348,0.0195,0.0,0.0554,0.623,93.034
503,Rihanna,2005,Pon de Replay,"hip hop, pop, R&B",4.12,77,0.779,0.64,7,-8.415,1,0.159,0.000155,0.00077,0.101,0.498,99.019
504,50 Cent,2005,Candy Shop,"hip hop, pop",3.49,79,0.614,0.574,11,-7.961,1,0.466,0.0253,3.2e-05,0.38,0.755,125.173
505,James Blunt,2005,You're Beautiful,pop,3.49,75,0.675,0.479,0,-9.87,0,0.0278,0.633,1.76e-05,0.088,0.454,81.998
506,Green Day,2004,Boulevard of Broken Dreams,rock,4.35,72,0.49,0.679,8,-3.68,1,0.0309,0.00394,1.54e-05,0.0383,0.506,167.046
507,The Pussycat Dolls,2005,Don't Cha,"pop, R&B",4.53,72,0.875,0.631,1,-3.475,1,0.099,0.00542,2.54e-06,0.127,0.549,120.003
508,Daniel Powter,2005,Bad Day,pop,3.89,74,0.599,0.785,3,-4.013,1,0.0309,0.448,0.00336,0.151,0.52,140.046
509,Akon,2004,Bananza (Belly Dancer),pop,3.97,28,0.878,0.699,10,-5.897,0,0.132,0.0345,3.37e-06,0.755,0.666,104.838
510,Madonna,2005,Hung Up,pop,5.63,74,0.649,0.647,9,-7.695,0,0.0452,0.0039,0.161,0.0686,0.405,125.02
511,50 Cent,2005,Just A Lil Bit,"hip hop, pop",3.96,76,0.489,0.692,1,-6.672,1,0.41,0.0322,0.00608,0.315,0.527,96.946
512,Crazy Frog,2005,Axel F,pop,2.81,67,0.86,0.907,2,-3.321,1,0.0407,0.279,0.693,0.0648,0.786,138.045
513,Eminem,2004,Ass Like That,hip hop,4.42,52,0.646,0.796,2,-6.152,1,0.366,0.409,0.0,0.107,0.676,83.093
514,Sean Paul,2005,We Be Burnin',"hip hop, pop",3.55,59,0.95,0.803,1,-4.195,1,0.151,0.145,0.0,0.0748,0.86,117.0
515,Gwen Stefani,2004,Rich Girl,"pop, R&B",3.94,68,0.856,0.754,7,-2.728,0,0.0416,0.0294,1.49e-05,0.206,0.722,98.018
516,The Chemical Brothers,2005,Galvanize,Dance/Electronic,6.56,63,0.745,0.714,7,-3.681,1,0.0751,0.0141,0.0222,0.363,0.365,104.003
517,Fort Minor,2005,Remember the Name (feat. Styles of Beyond),"hip hop, pop, rock",3.84,73,0.688,0.835,8,-4.162,1,0.0911,0.0583,2.87e-06,0.0795,0.88,84.858
518,50 Cent,2005,Disco Inferno,"hip hop, pop",3.57,72,0.925,0.659,3,-4.763,1,0.231,0.206,7.88e-05,0.279,0.71,97.018
519,The Game,2005,How We Do,"hip hop, pop",3.93,74,0.862,0.648,4,-7.401,0,0.251,0.0455,0.0,0.0332,0.637,98.012
520,Chris Brown,2005,Run It! (feat. Juelz Santana),"hip hop, pop, R&B",3.83,71,0.846,0.482,1,-6.721,0,0.129,0.0246,0.0,0.393,0.212,100.969
521,Mariah Carey,2005,It's Like That,"pop, R&B",3.39,0,0.8,0.633,8,-4.875,0,0.0514,0.0901,0.0,0.0315,0.836,95.953
522,Black Eyed Peas,2005,My Humps,"hip hop, pop",5.45,67,0.802,0.682,1,-5.924,0,0.222,0.111,1.39e-05,0.109,0.586,123.95
523,Ciara,2004,Oh (feat. Ludacris),"pop, R&B",4.27,61,0.8,0.496,7,-7.135,1,0.0506,0.000298,0.0,0.0697,0.357,128.29
524,50 Cent,2005,Outta Control - Remix,"hip hop, pop",4.13,60,0.772,0.599,8,-5.996,0,0.246,0.0277,0.0,0.0839,0.557,92.029
525,Baby Bash,2005,"Baby, I'm Back","hip hop, pop, R&B, latin",3.67,4,0.899,0.365,9,-5.461,0,0.105,0.0508,0.0,0.097,0.749,100.01
526,Jennifer Lopez,2005,Get Right,"hip hop, pop, R&B",3.76,65,0.741,0.759,0,-5.096,0,0.12,0.0218,0.0,0.628,0.362,97.084
527,JAY-Z,2004,Numb / Encore,hip hop,3.43,76,0.687,0.793,2,-4.254,1,0.166,0.0603,0.0,0.582,0.751,107.045
528,The Game,2005,Hate It Or Love It,"hip hop, pop",3.44,77,0.802,0.785,9,-4.781,1,0.207,0.14,0.0,0.123,0.435,99.998
529,Gorillaz,2005,Feel Good Inc.,hip hop,3.71,82,0.818,0.705,6,-6.679,1,0.177,0.00836,0.00233,0.613,0.772,138.559
530,Black Eyed Peas,2005,Don't Phunk With My Heart,"hip hop, pop",4.0,62,0.69,0.928,5,-2.76,0,0.061,0.00937,0.0,0.547,0.604,130.889
531,Akon,2004,Lonely,pop,3.93,21,0.629,0.532,5,-7.88,0,0.0352,0.331,0.0,0.238,0.619,90.098
532,Bodyrockers,2005,I Like The Way - Radio Edit,"rock, Dance/Electronic",3.33,54,0.642,0.851,6,-3.638,1,0.0431,0.0248,0.0146,0.084,0.777,127.988
533,Sugababes,2005,Push The Button,"pop, R&B",3.63,64,0.962,0.66,8,-5.096,1,0.061,0.0485,0.0,0.076,0.814,126.016
534,Jeezy,2005,Soul Survivor,"hip hop, pop",4.67,55,0.684,0.493,10,-7.728,1,0.0459,0.000839,0.0,0.157,0.08,84.03
535,Eminem,2004,Mockingbird,hip hop,4.18,77,0.637,0.678,0,-3.798,1,0.266,0.209,0.0,0.156,0.254,84.039
536,Shakira,2005,La Tortura (feat. Alejandro Sanz),"pop, latin",3.55,72,0.74,0.783,0,-5.367,1,0.0427,0.0297,0.000308,0.123,0.812,100.011
537,Gorillaz,2005,DARE,hip hop,4.08,73,0.76,0.891,11,-5.852,0,0.0372,0.0229,0.0869,0.298,0.966,120.264
538,Snoop Dogg,2004,Signs,"hip hop, pop",3.95,54,0.94,0.713,7,-5.308,1,0.127,0.0319,0.00076,0.325,0.666,112.955
539,Robbie Williams,2005,Tripping,"pop, rock",4.61,58,0.666,0.922,2,-4.458,0,0.0429,0.0381,0.000191,0.0633,0.828,118.014
540,David Banner,2005,Play,"hip hop, pop",3.84,52,0.837,0.658,1,-8.013,0,0.126,0.000213,0.122,0.243,0.586,95.027
541,Trillville,2004,Some Cut,"hip hop, pop",4.72,50,0.9,0.515,1,-6.626,1,0.372,0.00341,0.0,0.111,0.659,84.995
542,D4L,2005,Laffy Taffy,"hip hop, pop",3.74,63,0.891,0.439,7,-7.994,0,0.428,0.0351,0.0,0.0932,0.622,77.499
543,Missy Elliott,2005,Lose Control (feat. Ciara & Fat Man Scoop),"hip hop, pop, R&B",3.78,67,0.904,0.813,4,-7.105,0,0.121,0.0311,0.00697,0.0471,0.81,125.461
544,Rob Thomas,2005,Lonely No More,"pop, Folk/Acoustic",3.78,56,0.551,0.896,9,-3.152,0,0.109,0.033,0.0,0.0899,0.858,171.79
545,Brian McFadden,2004,Almost Here,set(),3.83,42,0.561,0.452,9,-7.324,0,0.0336,0.409,0.0,0.106,0.316,77.984
546,Bobby V.,2005,"Slow Down - 12"" Version","hip hop, pop, R&B",4.31,65,0.568,0.732,11,-4.896,0,0.103,0.179,4.92e-06,0.401,0.626,186.048
547,Backstreet Boys,2005,Incomplete,pop,3.99,63,0.437,0.589,4,-4.834,1,0.0331,0.231,0.0,0.0768,0.165,133.631
548,Pretty Ricky,2005,Grind With Me,"hip hop, pop, R&B",3.96,63,0.7,0.538,1,-5.952,1,0.045,0.000204,0.0,0.105,0.189,136.518
549,Kanye West,2005,Diamonds From Sierra Leone - Remix,hip hop,3.89,61,0.672,0.814,7,-3.768,1,0.27,0.258,0.0,0.164,0.379,97.043
551,Fat Joe,2005,Get It Poppin' (feat. Nelly) - Radio Version,"hip hop, pop",3.52,41,0.905,0.55,1,-7.558,1,0.372,0.0628,0.0,0.0644,0.52,100.813
552,Destinys Child,2004,Soldier (feat. T.I. & Lil' Wayne),"pop, R&B",5.43,63,0.878,0.417,7,-6.799,1,0.361,0.0444,0.0,0.0833,0.904,77.49
553,Ciara,2005,"1, 2 Step (feat. Missy Elliott) - Main","pop, R&B",3.37,52,0.939,0.498,5,-10.94,0,0.161,0.0444,0.00128,0.0475,0.801,113.053
554,Amerie,2008,1 Thing,"hip hop, pop, R&B",3.98,52,0.636,0.946,10,-4.683,0,0.332,0.115,3.75e-05,0.0416,0.891,125.085
555,Ludacris,2004,Get Back,"hip hop, pop",4.51,59,0.555,0.639,1,-5.16,1,0.263,0.0594,0.0,0.118,0.184,171.609
556,Franz Ferdinand,2005,Do You Want To,rock,3.58,61,0.412,0.944,0,-2.896,1,0.0448,0.0724,0.000493,0.801,0.79,123.091
557,Natalie Imbruglia,2005,Shiver,"pop, Folk/Acoustic",3.71,52,0.489,0.798,1,-4.49,1,0.0316,0.00115,2.81e-06,0.149,0.309,94.163
558,Gwen Stefani,2004,Hollaback Girl,"pop, R&B",3.33,69,0.926,0.916,10,-2.221,0,0.0929,0.35,6.17e-06,0.0234,0.904,110.007
559,Pretty Ricky,2005,Your Body,"hip hop, pop, R&B",4.0,59,0.838,0.594,4,-5.695,0,0.113,0.176,0.0,0.0867,0.507,90.038
560,Thirty Seconds To Mars,2005,The Kill,rock,3.86,74,0.179,0.912,4,-3.881,0,0.0791,0.0014,0.000294,0.582,0.289,182.99
561,Alicia Keys,2003,Karma,"pop, R&B",4.27,50,0.727,0.736,10,-6.203,1,0.0615,0.0743,0.00311,0.0348,0.687,85.098
562,2Pac,2004,Ghetto Gospel,hip hop,3.97,68,0.794,0.614,5,-5.352,0,0.0467,0.0964,0.0,0.0788,0.663,80.569
563,Craig David,2005,Don't Love You No More (I'm Sorry),"hip hop, pop, R&B",4.07,56,0.636,0.558,7,-7.076,1,0.0245,0.462,0.0,0.062,0.572,100.113
564,Katie Melua,2005,Nine Million Bicycles,"pop, easy listening, jazz",3.29,60,0.534,0.247,0,-15.636,1,0.0322,0.516,0.00859,0.122,0.344,82.168
565,Lil Jon & The East Side Boyz,2004,Lovers And Friends,"hip hop, pop",4.34,66,0.675,0.501,10,-6.183,1,0.22,0.0541,0.0,0.429,0.532,139.861
566,Mariah Carey,2005,Don't Forget About Us - Radio Edit,"pop, R&B",3.9,0,0.7,0.529,10,-6.816,0,0.0395,0.0422,0.0,0.101,0.386,143.555
567,Ying Yang Twins,2005,Wait (The Whisper Song),"hip hop, pop",2.99,57,0.933,0.513,7,-13.203,1,0.347,0.00112,0.00248,0.107,0.595,102.017
568,Will Smith,2020,Switch,"hip hop, pop",3.29,34,0.873,0.9,5,-4.325,0,0.18,0.0107,0.000502,0.556,0.478,102.516
569,Bow Wow,2005,Like You (feat. Ciara),"hip hop, pop, R&B",3.43,66,0.714,0.6,6,-8.365,1,0.0876,0.0465,0.0,0.0646,0.504,82.017
570,Kaiser Chiefs,2005,Everyday I Love You Less And Less,rock,3.63,58,0.49,0.956,1,-4.556,0,0.0407,0.00466,6.15e-06,0.242,0.577,160.028
571,Kelly Clarkson,2004,Behind These Hazel Eyes,"pop, R&B",3.32,59,0.548,0.889,9,-4.682,1,0.0382,0.00165,0.00109,0.197,0.425,90.048
572,Black Eyed Peas,2005,Don't Lie,"hip hop, pop",3.65,61,0.662,0.785,9,-5.299,1,0.186,0.16,0.0,0.0784,0.604,89.885
573,Westlife,2005,You Raise Me Up,pop,4.02,1,0.129,0.358,10,-6.596,1,0.0314,0.631,0.0,0.0886,0.172,75.048
574,Ray J,2005,One Wish,"hip hop, pop, R&B",5.63,62,0.525,0.652,5,-7.042,0,0.28,0.278,0.0,0.339,0.602,127.673
575,Papa Roach,2004,Scars,"rock, metal",3.47,60,0.455,0.929,11,-3.295,1,0.0494,0.0875,0.0,0.226,0.484,89.782
576,Arctic Monkeys,2006,I Bet You Look Good On The Dancefloor,rock,2.89,71,0.535,0.948,6,-4.19,0,0.0356,0.00225,0.0,0.376,0.778,103.183
577,Shayne Ward,2006,That's My Goal,pop,3.66,1,0.286,0.508,2,-5.966,1,0.0336,0.372,0.0,0.27,0.14,68.637
578,Bow Wow,2005,Let Me Hold You (feat. Omarion),"hip hop, pop, R&B",4.14,62,0.815,0.662,6,-8.244,1,0.199,0.0915,0.000409,0.0898,0.611,151.518
579,Kaiser Chiefs,2005,I Predict A Riot,rock,3.89,63,0.395,0.979,8,-3.241,1,0.0766,0.0243,0.0,0.12,0.41,158.842
580,Usher,2004,Caught Up,"hip hop, pop, R&B",3.74,61,0.817,0.806,6,-4.606,1,0.0623,0.027,9e-06,0.119,0.805,110.086
581,Kelly Clarkson,2004,Because of You,"pop, R&B",3.66,71,0.587,0.583,5,-5.284,0,0.0313,0.248,0.0,0.124,0.15,139.92
582,3 Doors Down,2012,Let Me Go,"pop, rock, metal",4.05,52,0.478,0.863,1,-4.914,0,0.0387,0.0181,0.0,0.111,0.491,92.004
583,Nickelback,2005,Photograph,"rock, metal",4.32,67,0.515,0.876,8,-3.756,1,0.0292,0.000932,0.000166,0.136,0.385,145.916
584,T-Pain,2005,I'm Sprung,"hip hop, pop, R&B",3.85,0,0.722,0.329,0,-11.617,0,0.108,0.088,0.0,0.081,0.166,99.991
585,Destinys Child,2004,Cater 2 U,"pop, R&B",4.09,58,0.605,0.584,11,-7.043,0,0.197,0.286,0.0,0.235,0.464,125.802
586,The Pussycat Dolls,2005,Stickwitu,"pop, R&B",3.46,67,0.548,0.554,9,-6.408,1,0.0587,0.283,0.0,0.0708,0.382,79.918
587,Ryan Cabrera,2004,True,pop,3.4,62,0.598,0.4,6,-10.054,1,0.0241,0.459,0.0,0.151,0.369,96.938
588,Stereophonics,2005,Dakota,"rock, pop",4.96,69,0.506,0.93,4,-3.499,1,0.0675,0.129,0.00682,0.0931,0.305,146.994
589,Eminem,2004,Like Toy Soldiers,hip hop,4.95,67,0.52,0.768,8,-3.489,0,0.359,0.0193,0.00034,0.104,0.398,79.178
590,Nelly,2004,Over And Over,"hip hop, pop, R&B",4.23,61,0.644,0.517,7,-10.02,1,0.0803,0.0065,1.37e-06,0.158,0.464,169.799
591,Coldplay,2005,Speed of Sound,"rock, pop",4.8,69,0.514,0.898,11,-6.765,0,0.0577,0.00488,0.0345,0.0746,0.353,123.067
592,KT Tunstall,2005,Suddenly I See,"World/Traditional, pop, Folk/Acoustic",3.36,71,0.587,0.767,0,-5.713,1,0.0449,0.225,0.0,0.112,0.664,100.38
593,Destinys Child,2004,Girl,"pop, R&B",3.74,55,0.567,0.747,6,-6.019,0,0.105,0.31,0.0,0.04,0.556,89.036
594,Kelly Clarkson,2004,Since U Been Gone,"pop, R&B",3.15,71,0.662,0.739,9,-5.354,0,0.0322,0.00206,0.0603,0.113,0.382,130.999
595,U2,2004,Sometimes You Can't Make It On Your Own,"World/Traditional, rock",5.08,56,0.53,0.597,2,-5.652,1,0.0247,0.00275,0.473,0.105,0.346,96.0
596,The All-American Rejects,2005,Dirty Little Secret,"rock, pop",3.23,65,0.469,0.955,10,-4.253,1,0.0432,0.000343,1.35e-06,0.548,0.462,143.853
597,Toby Keith,2005,As Good As I Once Was,country,3.8,67,0.68,0.87,5,-4.461,1,0.0393,0.266,0.0,0.109,0.646,119.075
598,Gwen Stefani,2004,Cool,"pop, R&B",3.16,59,0.709,0.721,2,-3.52,1,0.0281,0.0322,0.000309,0.355,0.801,112.019
599,Foo Fighters,2005,Best of You,"rock, metal",4.26,76,0.366,0.94,1,-5.119,0,0.0696,0.000769,9.42e-05,0.188,0.369,130.198
